data,dia,dia_semana,eventos,categorias,tags
2026-02-02,02,Segunda-feira,Dia Mundial dos Introvertidos,comportamental,personalidade
2026-02-02,02,,ABUP SHOW Home · Gift · Têxtil · Decor,feira|casa e decoração,casa|decoração|têxtil|presentes
2026-02-02,02,,FENINJER,feira|infantil,infantil|bebê|brinquedos
2026-02-03,03,Terça-feira,Dia do Juiz de Menores,profissão|justiça,direito|infância
2026-02-03,03,,Movelpar Home Show,feira|móveis,móveis|casa|decoração
2026-02-04,04,Quarta-feira,Dia Mundial do Câncer|Dia da Abreugrafia,saúde|medicina,oncologia|prevenção
2026-02-04,04,,Feira do Cerrado,feira|agropecuário,café|agro|cooperativa
2026-02-05,05,Quinta-feira,Dia do Datiloscopista|Dia do Dermatologista|Dia da Borboleta-Monarca,profissão|saúde|natureza,perícia|pele|fauna
2026-02-06,06,Sexta-feira,Dia da Gratidão|Dia de Reis,comportamental|religioso,valores|católico
2026-02-07,07,Sábado,Dia da Liberdade de Cultos,direitos|religioso,liberdade|fé
2026-02-08,08,Domingo,Dia do Fotógrafo,profissão|arte,visual|criativo
2026-02-08,08,,ABCasa Fair,feira|casa e decoração,casa|decoração|utilidades
2026-02-09,09,Segunda-feira,Dia Mundial da Pizza|Dia do Astronauta|Dia do Fico,culinária|profissão|histórico,gastronomia|espaço|brasil
2026-02-09,09,,Show Rural Coopavel,feira|agropecuário,agro|tecnologia|maquinário
2026-02-10,10,Terça-feira,Dia do Atleta Profissional|Dia Internacional das Mulheres e Meninas na Ciência,esporte|educação|gênero,atleta|ciência|mulher
2026-02-11,11,Quarta-feira,Dia do Controle da Poluição por Agrotóxicos|Dia Internacional do Obrigado,ambiental|comportamental,sustentabilidade|gratidão
2026-02-12,12,Quinta-feira,Dia do Empresário Contábil,profissão,contabilidade|negócios
2026-02-13,13,Sexta-feira,Dia Mundial do Rádio|Dia Internacional do Leonismo,comunicação|institucional,mídia|serviço
2026-02-14,14,Sábado,Dia de São Valentim|Dia dos Namorados (Internacional)|Dia Internacional da Pipa|Dia do Enfermo,romance|lazer|saúde,amor|diversão|cuidado
2026-02-15,15,Domingo,Dia dos Adultos|Dia Mundial do Compositor,comportamental|arte,maturidade|música
2026-02-16,16,Segunda-feira,Dia do Repórter|Dia dos Cortadores de Cana-de-açúcar,profissão,jornalismo|agricultura
2026-02-17,17,Terça-feira,Carnaval (Terça-feira)|Dia dos Tribunais de Contas do Brasil,feriado|cultural|institucional,festa|fiscalização
2026-02-18,18,Quarta-feira,Cinzas|Dia de Plutão|Dia da Manicure,religioso|astronomia|profissão,católico|espaço|beleza
2026-02-19,19,Quinta-feira,Dia do Esportista|Dia Oficial do Cabeleireiro|Dia do Terapeuta Ocupacional,esporte|profissão|saúde,atleta|beleza|terapia
2026-02-19,19,,Festa Nacional da Uva,evento cultural|cultural,cultura|vinho|gastronomia
2026-02-20,20,Sexta-feira,Dia do Farmacêutico|Dia da Parteira Tradicional|Dia do Pinguim,profissão|saúde|natureza,medicina|maternidade|fauna
2026-02-21,21,Sábado,Dia do Esquilo|Dia Internacional do Moletom|Dia Mundial da Religião,natureza|moda|religioso,fauna|vestuário|fé
2026-02-22,22,Domingo,Dia de Santo André,religioso,católico|santo
2026-02-23,23,Segunda-feira,Dia do Monte Fuji|Dia Internacional da Medicina Integrativa,internacional|saúde,japão|medicina
2026-02-23,23,,LACTE,congresso|turismo,turismo|viagens|eventos
2026-02-24,24,Terça-feira,Promulgação da primeira Constituição da República do Brasil|Dia da Educação|Dia da Constituição,histórico|educação|institucional,brasil|ensino|direito
2026-02-24,24,,Marmomac Brazil,feira|rochas e mármores,rochas|mármores|construção
2026-02-24,24,,Show Tecnológico Copercampos,feira|agropecuário,agro|tecnologia|sementes
2026-02-24,24,,Febratêxtil,feira|têxtil,têxtil|moda|confecção
2026-02-25,25,Quarta-feira,Dia do Carteiro|Fundação de São Paulo,profissão|histórico,correios|cidade
2026-02-26,26,Quinta-feira,Dia Mundial do Pistache|Dia da Gula,culinária|comportamental,gastronomia|reflexão
2026-02-27,27,Sexta-feira,Dia do Agente Fiscal da Receita Federal|Dia Internacional do Urso Polar|Dia do Orador,profissão|natureza,fiscalização|fauna|comunicação
2026-02-28,28,Sábado,Dia do Portuário|Dia Internacional da Privacidade de Dados|Dia Internacional do Lego,profissão|tecnologia|lazer,porto|segurança|brinquedo
2026-03-01,01,Domingo,Dia Mundial das Ervas Marinhas|Dia Nacional da Visibilidade Trans,ambiental|direitos,natureza|lgbtqia+
2026-03-01,01,,ABRIN,feira|brinquedos,brinquedos|infantil|jogos
2026-03-02,02,Segunda-feira,Dia do Quadrinho Nacional|Dia do Engenheiro Ambiental|Dia da Saudade,arte|profissão|comportamental,hq|sustentabilidade|emoção
2026-03-03,03,Terça-feira,Dia Mundial do Mágico,arte|entretenimento,ilusionismo|show
2026-03-03,03,,FIMEC,feira|calçados,calçados|couro|moda
2026-03-04,04,Quarta-feira,Dia do Publicitário,profissão,marketing|comunicação
2026-03-04,04,,SIMASP,feira|automotivo,automotivo|peças|manutenção
2026-03-05,05,Quinta-feira,Dia do Datiloscopista|Dia do Dermatologista|Dia da Borboleta-Monarca,profissão|saúde|natureza,perícia|pele|fauna
2026-03-05,05,,Festival DW! Semana de Design de São Paulo,evento|design,design|arquitetura|criatividade
2026-03-05,05,,AgroRosário,feira|agropecuário,agro|tecnologia|bahia
2026-03-06,06,Sexta-feira,Dia da Gratidão|Dia de Reis,comportamental|religioso,valores|católico
2026-03-07,07,Sábado,Dia do Fuzileiro Naval|Dia do Paleontólogo|Dia da Liberdade de Cultos,militar|profissão|direitos,defesa|ciência|liberdade
2026-03-08,08,Domingo,Dia Internacional da Mulher|Dia do Fotógrafo,gênero|profissão,mulher|visual
2026-03-09,09,Segunda-feira,Dia do DJ|Dia Mundial da Pizza,profissão|culinária,música|gastronomia
2026-03-09,09,,Expodireto Cotrijal,feira|agropecuário,agro|tecnologia|maquinário
2026-03-09,09,,EXPO REVESTIR,feira|construção,revestimentos|construção|design
2026-03-09,09,,HAUS DECOR SHOW,feira|decoração,decoração|casa|design
2026-03-10,10,Terça-feira,Dia do Atleta Profissional|Dia Internacional das Mulheres e Meninas na Ciência,esporte|educação,atleta|ciência
2026-03-10,10,,Salão das Motopeças,feira|automotivo,motopeças|motocicletas|peças
2026-03-10,10,,Farm Show,feira|agropecuário,agro|tecnologia|mato grosso
2026-03-10,10,,ABRADILAN Conexão Farma,congresso|farmacêutico,farmácia|medicamentos|saúde
2026-03-10,10,,Animal Health Expo Fórum,congresso|veterinária,veterinária|saúde animal|pets
2026-03-11,11,Quarta-feira,Dia do Controle da Poluição por Agrotóxicos|Dia Internacional do Obrigado,ambiental|comportamental,sustentabilidade|gratidão
2026-03-11,11,,ABAV TravelSP,feira|turismo,turismo|viagens|agências
2026-03-12,12,Quinta-feira,Dia do Bibliotecário|Dia do Empresário Contábil,profissão,biblioteca|contabilidade
2026-03-12,12,,Smart Summit,congresso|tecnologia,tecnologia|smart cities|inovação
2026-03-12,12,,Pesca Trade Show,feira|pesca,pesca|náutica|esportes
2026-03-12,12,,South by Southwest (SXSW),congresso|tecnologia e cultura,tecnologia|música|cinema|internacional
2026-03-13,13,Sexta-feira,Dia Mundial do Rádio|Dia Internacional do Leonismo,comunicação|institucional,mídia|serviço
2026-03-13,13,,Expo Cakes,feira|confeitaria,confeitaria|gastronomia|doces
2026-03-14,14,Sábado,Dia dos Carecas|Dia de São Valentim,comportamental|romance,humor|amor
2026-03-15,15,Domingo,Dia do Consumidor|Dia dos Adultos,direitos|comportamental,consumo|maturidade
2026-03-16,16,Segunda-feira,Dia do Agente Penitenciário Federal|Dia Nacional do Ouvidor|Dia do Repórter,profissão|institucional,segurança|ouvidoria|jornalismo
2026-03-16,16,,YES Móvel Show São Paulo,feira|móveis,móveis|decoração|casa
2026-03-17,17,Terça-feira,Dia de São Patrício|Dia dos Tribunais de Contas do Brasil,cultural|institucional,irlanda|fiscalização
2026-03-17,17,,ERP Summit,congresso|tecnologia,erp|software|gestão
2026-03-17,17,,Tecnoagro,feira|agropecuário,agro|tecnologia|mato grosso do sul
2026-03-17,17,,SRE Trade Show,feira|imobiliário,imóveis|construção|mercado
2026-03-17,17,,MERCOAGRO,feira|agropecuário,agro|tecnologia|santa catarina
2026-03-17,17,,108ª BIJOIAS,feira|joias,joias|bijuterias|acessórios
2026-03-18,18,Quarta-feira,Dia de Plutão|Dia da Manicure,astronomia|profissão,espaço|beleza
2026-03-18,18,,Artesanal Sul,feira|artesanato,artesanato|cultura|design
2026-03-19,19,Quinta-feira,Dia do Caráter|Dia do Carpinteiro e do Marceneiro|Dia do Consertador|Dia Nacional do Artesão|Dia do Cabeleireiro,comportamental|profissão,valores|madeira|reparo|artesanato|beleza
2026-03-19,19,,CONFEITAR EXPO,feira|confeitaria,confeitaria|gastronomia|nordeste
2026-03-19,19,,FEMAGRI,feira|agropecuário,agro|tecnologia|minas gerais
2026-03-19,19,,EFN- EXPO FRANQUIAS NORDESTE,feira|franquias,franquias|negócios|empreendedorismo
2026-03-20,20,Sexta-feira,Início do Outono|Dia do Farmacêutico,sazonal|profissão,estação|medicina
2026-03-20,20,,Íntimi Expo,feira|moda íntima,moda íntima|lingerie|moda
2026-03-20,20,,Congress Brazil Mobile & Expo,congresso|telecomunicações,telecom|mobile|tecnologia
2026-03-21,21,Sábado,Dia Internacional das Florestas|Dia do Esquilo,ambiental|natureza,sustentabilidade|fauna
2026-03-22,22,Domingo,Dia Mundial da Água|Dia de Santo André,ambiental|religioso,sustentabilidade|católico
2026-03-23,23,Segunda-feira,Dia do Optometrista|Dia Mundial da Meteorologia|Dia Internacional da Medicina Integrativa,profissão|ciência|saúde,visão|clima|medicina
2026-03-23,23,,Show Safra,feira|agropecuário,agro|tecnologia|mato grosso
2026-03-24,24,Terça-feira,Dia da Educação|Dia da Constituição|Dia da Previdência Social,educação|institucional,ensino|direito|aposentadoria
2026-03-24,24,,SNEC PV & ES LATAM,feira|energia solar,energia solar|sustentabilidade|tecnologia
2026-03-24,24,,Fruit Attraction São Paulo,feira|frutas,frutas|hortaliças|agro
2026-03-24,24,,ExpoPrint Latin America,feira|gráfica,gráfica|impressão|comunicação
2026-03-25,25,Quarta-feira,Dia do Carteiro|Fundação de São Paulo,profissão|histórico,correios|cidade
2026-03-25,25,,Smart City Expo Curitiba,expo|tecnologia,smart cities|tecnologia|inovação
2026-03-25,25,,South Summit Brazil,congresso|startups,startups|inovação|empreendedorismo
2026-03-25,25,,Expotel,feira|hotelaria,hotelaria|turismo|hospitalidade
2026-03-25,25,,GEduc,congresso|educação,educação|gestão|ensino
2026-03-25,25,,Feira Condo+,feira|condomínios,condomínios|gestão|imóveis
2026-03-26,26,Quinta-feira,Dia da Gula,comportamental,reflexão
2026-03-27,27,Sexta-feira,Dia Mundial do Teatro|Dia do Graffiti|Dia do Orador,arte|profissão,teatro|urbano|comunicação
2026-03-28,28,Sábado,Dia do Diagramador|Dia do Revisor|Dia do Portuário,profissão,design|editorial|porto
2026-03-29,29,Domingo,Dia Nacional da Visibilidade Trans|Dia Internacional do Hanseniano,direitos|saúde,lgbtqia+|medicina
2026-03-30,30,Segunda-feira,Dia do Quadrinho Nacional|Dia do Engenheiro Ambiental|Dia da Saudade,arte|profissão|comportamental,hq|sustentabilidade|emoção
2026-03-31,31,Terça-feira,Dia Mundial do Mágico,arte|entretenimento,ilusionismo|show
2026-03-31,31,,NIS – Nutri Ingredients Summit,congresso|nutrição,nutrição|alimentos|saúde
2026-03-31,31,,AUTOCOM,feira|automotivo,automotivo|peças|manutenção
2026-04-01,01,Quarta-feira,Dia da Mentira|Dia da Abolição da Escravidão dos Índios,cultural|histórico,humor|indígena
2026-04-02,02,Quinta-feira,Dia Mundial de Conscientização do Autismo|Dia do Propagandista|Dia Internacional do Livro Infantil|Dia do Jornalista|Dia Mundial da Saúde|Dia do Médico Legista,saúde|profissão|educação,autismo|marketing|literatura|jornalismo|medicina
2026-04-02,02,,Feira da Loucura por Sapatos,feira|calçados,calçados|moda|varejo
2026-04-02,02,,Festival de Cervejas Artesanais,evento|cerveja,cerveja|gastronomia|cultura
2026-04-03,03,Sexta-feira,Paixão de Cristo (Sexta-feira Santa)|Dia do Juiz de Menores,feriado|religioso|profissão,católico|justiça
2026-04-04,04,Sábado,Dia da Abreugrafia|Dia Mundial do Braille,saúde|acessibilidade,medicina|inclusão
2026-04-05,05,Domingo,Páscoa|Criação da 1ª Tipografia no Brasil,feriado|religioso|histórico,católico|gráfica
2026-04-06,06,Segunda-feira,Dia da Gratidão|Dia de Reis,comportamental|religioso,valores|católico
2026-04-06,06,,Tecnoshow Comigo,feira|agropecuário,agro|tecnologia|goiás
2026-04-07,07,Terça-feira,Dia da Liberdade de Cultos,direitos|religioso,liberdade|fé
2026-04-07,07,,Anuga Select Brasil,feira|alimentos,alimentos|bebidas|gastronomia
2026-04-07,07,,EXPO SUPERMERCADOS,feira|varejo,supermercados|varejo|alimentos
2026-04-07,07,,FEICON,feira|construção,construção|materiais|engenharia
2026-04-07,07,,Private Label Brasil,feira|varejo,marca própria|varejo|produtos
2026-04-08,08,Quarta-feira,Dia Mundial de Combate ao Câncer|Dia Mundial da Astronomia|Dia Nacional do Sistema Braile|Dia do Fotógrafo,saúde|ciência|acessibilidade|profissão,oncologia|espaço|inclusão|visual
2026-04-08,08,,RIO ARTES,feira|artesanato,artesanato|cultura|design
2026-04-08,08,,Expo Óptica Brasil,feira|óptica,óptica|saúde|oftalmologia
2026-04-09,09,Quinta-feira,Dia do Astronauta|Dia do Fico,profissão|histórico,espaço|brasil
2026-04-09,09,,Expogrande,feira|agropecuário,agro|pecuária|mato grosso do sul
2026-04-10,10,Sexta-feira,Dia do Engenheiro Metalurgista|Festa de São Gonçalo do Amarante,profissão|religioso,engenharia|católico
2026-04-11,11,Sábado,Dia do Infectologista|Dia do Controle da Poluição por Agrotóxicos,profissão|ambiental,medicina|sustentabilidade
2026-04-11,11,,Estética In São Paulo,feira|beleza,beleza|estética|cosméticos
2026-04-12,12,Domingo,Dia do Engenheiro Naval|Dia do Humorista|Dia do Obstetra|Dia do Empresário Contábil,profissão,engenharia|humor|medicina|contabilidade
2026-04-13,13,Segunda-feira,Domingo de Ramos|Dia do Office Boy|Dia Internacional do Leonismo,religioso|profissão|institucional,católico|serviços|comunidade
2026-04-14,14,Terça-feira,Segunda-feira Santa|Dia do Técnico em Serviço de Saúde|Dia do Neurocirurgião|Dia do Sargento,religioso|profissão|militar,católico|saúde|defesa
2026-04-14,14,,Yes Móvel Show Goiás,feira|móveis,móveis|decoração|casa
2026-04-14,14,,LAAD Security Milipol Brazil,feira|segurança,segurança|defesa|tecnologia
2026-04-14,14,,BRAZIL PROMOTION DAY,evento|promoção,promoção|marketing|varejo
2026-04-14,14,,Intermodal South America,feira|logística,logística|transporte|supply chain
2026-04-14,14,,Agreste Tex,feira|têxtil,têxtil|moda|nordeste
2026-04-14,14,,Parecis SuperAgro,feira|agropecuário,agro|tecnologia|mato grosso
2026-04-14,14,,PROTEMINAS,feira|proteína animal,proteína|pecuária|agro
2026-04-14,14,,FENAVID,feira|vidro,vidro|construção|indústria
2026-04-14,14,,Agile Trends GOV,congresso|tecnologia,tecnologia|governo|inovação
2026-04-14,14,,WTM Latin America,feira|turismo,turismo|viagens|hospitalidade
2026-04-15,15,Quarta-feira,Terça-feira Santa|Dia Internacional do Ciclista|Dia do Compositor,religioso|esporte|arte,católico|bicicleta|música
2026-04-16,16,Quinta-feira,Quarta-feira Santa|Dia dos Cortadores de Cana-de-açúcar,religioso|profissão,católico|agricultura
2026-04-16,16,,Vtex Day,evento|e-commerce,e-commerce|tecnologia|varejo
2026-04-16,16,,IT Fórum Trancoso,congresso|tecnologia,tecnologia|TI|inovação
2026-04-17,17,Sexta-feira,Quinta-feira Santa|Dia dos Tribunais de Contas do Brasil,religioso|institucional,católico|fiscalização
2026-04-18,18,Sábado,Sexta-feira Santa|Dia Nacional do Livro Infantil|Dia Mundial do Radiamador|Dia da Manicure,feriado|religioso|educação|profissão,católico|literatura|comunicação|beleza
2026-04-19,19,Domingo,Sábado de Aleluia|Dia do Índio|Dia Oficial do Cabeleireiro,religioso|direitos|profissão,católico|indígena|beleza
2026-04-20,20,Segunda-feira,Páscoa|Dia do Diplomata|Dia do Farmacêutico,feriado|religioso|profissão,católico|relações|medicina
2026-04-21,21,Terça-feira,Dia de Tiradentes|Inauguração de Brasília|Dia do Funcionário Policial Civil|Dia do Metalúrgico|Dia do Esquilo,feriado|histórico|profissão|natureza,inconfidência|capital|segurança|indústria|fauna
2026-04-21,21,,Norte Show,feira|agropecuário,agro|tecnologia|norte
2026-04-22,22,Quarta-feira,Dia do Descobrimento do Brasil|Dia do Agente de Viagem|Dia de Santo André,histórico|profissão|religioso,brasil|turismo|católico
2026-04-22,22,,Heli XP,expo|aviação,aviação|helicópteros|aeronáutica
2026-04-23,23,Quinta-feira,Dia de São Jorge|Dia do Escoteiro|Dia do Serralheiro|Dia Internacional da Medicina Integrativa,religioso|institucional|profissão|saúde,católico|escotismo|metalurgia|medicina
2026-04-23,23,,COPA – CONGRESSO PAULISTA DE ANESTESIOLOGIA,congresso|medicina,medicina|anestesiologia|saúde
2026-04-23,23,,MTM – Minas Travel Market,feira|turismo,turismo|viagens|minas gerais
2026-04-23,23,,Mara Cakes Fair São Paulo,feira|confeitaria,confeitaria|gastronomia|doces
2026-04-24,24,Sexta-feira,Dia de Libras|Dia Mundial do Livro|Dia da Educação,acessibilidade|educação,inclusão|literatura|ensino
2026-04-24,24,,Arnold Sports Festival South America,evento|esportes,esportes|fitness|bodybuilding
2026-04-25,25,Sábado,Dia do Despachante Aduaneiro|Dia do Profissional da Contabilidade|Dia do Carteiro,profissão,alfândega|contabilidade|correios
2026-04-25,25,,Rio Boat Show,feira|náutica,náutica|barcos|esportes
2026-04-25,25,,Festival do Cordeiro de Hidrolândia,evento|gastronomia,gastronomia|cultura|regional
2026-04-26,26,Domingo,Dia do Engraxate|Dia do Goleiro|Dia da Gula,profissão|esporte|comportamental,serviços|futebol|reflexão
2026-04-26,26,,FIT 0/16,feira|infantil,infantil|moda|bebê
2026-04-26,26,,Pueri Expo,feira|educação infantil,educação|infantil|pedagogia
2026-04-27,27,Segunda-feira,Dia da Empregada Doméstica|Dia do Orador,profissão,trabalho|comunicação
2026-04-27,27,,AGRISHOW,feira|agropecuário,agro|tecnologia|maquinário
2026-04-28,28,Terça-feira,Dia da Educação|Dia da Sogra|Dia do Portuário,educação|comportamental|profissão,ensino|família|porto
2026-04-29,29,Quarta-feira,Dia Internacional da Dança|Dia Nacional da Visibilidade Trans,arte|direitos,dança|lgbtqia+
2026-04-29,29,,NEW MEAT BRAZIL,congresso|proteína alternativa,proteína|alimentos|inovação
2026-04-29,29,,PLANT-BASED TECH,congresso|alimentos,alimentos|plant-based|sustentabilidade
2026-04-30,30,Quinta-feira,Dia Nacional da Mulher|Dia do Quadrinho Nacional,gênero|arte,mulher|hq
2026-04-30,30,,ExpoRaiz – Feira Nacional dos Campistas Raiz,feira|camping,camping|lazer|turismo
2026-04-30,30,,Gamescom LATAM,feira|games,games|tecnologia|entretenimento
2026-04-30,30,,Jornada Paulista de Radiologia – JPR,congresso|medicina,medicina|radiologia|saúde
2026-05-01,01,,FENASOJA,feira|agropecuário,agro|soja|tecnologia
2026-05-01,01,,FEIARTE,feira|artesanato,artesanato|cultura|design
2026-05-04,04,,ILTM Latin America,feira|turismo de luxo,turismo|luxo|viagens
2026-05-04,04,,EXPOMAFE,feira|manufatura,manufatura|máquinas|ferramentas|indústria
2026-05-04,04,,FLEXO & LABELS EXPERIENCE,feira|gráfica,flexografia|rótulos|embalagens|impressão
2026-05-05,05,,Bett Brasil,feira|educação e tecnologia,educação|tecnologia|ensino
2026-05-05,05,,FEIMEC,feira|mecânica,mecânica|indústria|manufatura
2026-05-05,05,,ForBeer,feira|cerveja,cerveja|bebidas|gastronomia
2026-05-06,06,,ForÁgua,congresso|saneamento,saneamento|água|sustentabilidade
2026-05-06,06,,Gramado Summit,congresso|empreendedorismo,empreendedorismo|inovação|negócios
2026-05-06,06,,Abrint Global Congress,congresso|telecomunicações,telecom|internet|tecnologia
2026-05-06,06,,Autopar,feira|automotivo,automotivo|peças|paraná
2026-05-12,12,,Wine South America,feira|vinhos,vinhos|gastronomia|cultura
2026-05-12,12,,SINDEPAT Summit,congresso|tecnologia,tecnologia|TI|gestão
2026-05-12,12,,FENAGRA,feira|gráfica,gráfica|impressão|comunicação
2026-05-13,13,,São Paulo Innovation Week,evento|inovação,inovação|tecnologia|startups
2026-05-18,18,,ForLAC,feira|laticínios,laticínios|leite|queijo|agro
2026-05-18,18,,FIEMA BRASIL,feira|metal mecânica,metal|mecânica|indústria|ferramentas
2026-05-19,19,,Hospitalar,feira|saúde,saúde|hospitalar|equipamentos médicos
2026-05-20,20,,NT2E,feira|tecnologia,tecnologia|inovação|digital
2026-06-08,08,,Web Summit Rio,congresso|tecnologia,tecnologia|inovação|startups
2026-06-15,15,,BRASMIN,feira|mineração,mineração|equipamentos|tecnologia
2026-06-23,23,,IFAT Brasil,feira|meio ambiente,meio ambiente|sustentabilidade|saneamento|água
2026-07-15,15,,INTERMACH,feira|metal mecânica,metal|mecânica|máquinas|indústria
2026-07-20,20,,METALURGIA,feira|metalurgia,metalurgia|fundição|indústria
2026-08-02,02,,Escolar Office Brasil,feira|material escolar,material escolar|papelaria|educação
2026-08-03,03,,INDUSPAR,feira|indústria,indústria|manufatura|paraná
2026-08-04,04,,LABACE,feira|aviação,aviação|executiva|aeronáutica
2026-08-04,04,,Fi South America,feira|ingredientes,ingredientes|alimentos|indústria
2026-08-04,04,,Brazil Promotion,feira|promoção,promoção|marketing|varejo
2026-08-04,04,,The Brazil Conference & Expo,congresso|negócios,negócios|empreendedorismo|inovação
2026-08-04,04,,MEC SHOW,feira|construção,construção|materiais|espírito santo
2026-08-04,04,,SBF – Saúde Business Fórum,congresso|saúde,saúde|gestão|negócios
2026-08-04,04,,Embala Nordeste,feira|embalagens,embalagens|indústria|nordeste
2026-08-04,04,,Multimodal Nordeste,feira|logística,logística|transporte|nordeste
2026-08-09,09,,Fimma Brasil,feira|madeira e móveis,madeira|móveis|marcenaria|indústria
2026-08-10,10,,Congresso Brasileiro do Agronegócio,congresso|agropecuário,agro|negócios|economia
2026-08-11,11,,Congresso ANDAV,congresso|turismo,turismo|viagens|agências
2026-08-11,11,,ExpoLazer & Outdoor Living,feira|lazer,lazer|outdoor|piscinas
2026-08-11,11,,COP International,congresso|proteína animal,proteína|pecuária|agro
2026-08-11,11,,Expo-Hospital Brasil,feira|saúde,saúde|hospitalar|minas gerais
2026-08-11,11,,Fenasucro & Agrocana,feira|agropecuário,agro|cana|açúcar
