﻿data;evento;evento_key;codigo_evento;tipo_evento;oficial;abrangencia;territorio;cidade;periodicidade;nivel_impacto;janela_ativacao;momento_no_ano;abordagem_editorial;cta_sugerido;canais_sugeridos;formato_sugerido;tags_editoriais;score_relevancia;score_editorial;descricao_ai;origem_ai;curiosidade_ai
02/01/2026;Dia Mundial do Introvertido;dia_mundial_do_introvertido;INTROVERTIDO;international;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;internacional|cultural;55.0;55.0;O Dia Mundial do Introvertido, celebrado em 2 de janeiro, é uma data que visa reconhecer e valorizar as características e contribuições dos introvertidos na sociedade. Este dia é uma oportunidade para promover a compreensão sobre a introversão, que é frequentemente mal interpretada como timidez ou falta de sociabilidade. A data incentiva a reflexão sobre a importância de respeitar as diferenças de personalidade e criar ambientes que acolham tanto extrovertidos quanto introvertidos.;A data foi criada por fãs e defensores da comunidade introvertida, buscando um espaço para celebrar suas particularidades e promover um diálogo sobre a diversidade de personalidades.;Estudos mostram que cerca de um terço da população é composta por introvertidos, que frequentemente se destacam em áreas que exigem concentração e criatividade.
02/01/2026;Dia do Confeiteiro;dia_do_confeiteiro;CONFEITEIRO;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;comemorativo|cultural;50.0;50.0;O Dia do Confeiteiro, celebrado em 2 de janeiro, é uma data que homenageia os profissionais que se dedicam à arte da confeitaria. Esses especialistas são responsáveis pela criação de doces, bolos e sobremesas que encantam paladares e celebram momentos especiais. A data é uma oportunidade para reconhecer o trabalho e a criatividade dos confeiteiros, que combinam técnica e arte para produzir verdadeiras obras-primas comestíveis.;A escolha do dia 2 de janeiro remete à tradição de valorizar a profissão e a importância da confeitaria na cultura gastronômica, embora não haja um registro específico sobre a origem da data.;Em muitos países, a confeitaria é considerada uma forma de arte, e os confeiteiros frequentemente participam de competições para mostrar suas habilidades e inovações.
02/01/2026;São Basílio Magno;sao_basilio_magno;SAO_BASILIO_MAGNO;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;comemorativo|cultural;50.0;50.0;O dia 2 de janeiro é celebrado como o dia de São Basílio Magno, um dos grandes Padres da Igreja e um importante teólogo do século IV. Ele é conhecido por suas contribuições à doutrina cristã e por ser um defensor da ortodoxia contra as heresias da época. A data é especialmente significativa para a Igreja Ortodoxa, onde São Basílio é venerado como um santo importante, sendo considerado o fundador de várias comunidades monásticas e um reformador da liturgia.;A celebração de São Basílio Magno remonta ao início do cristianismo, quando ele se destacou por sua liderança e ensinamentos. Sua festa é comemorada em várias tradições cristãs, especialmente na Ortodoxa, onde sua influência é amplamente reconhecida.;Além de ser um teólogo, São Basílio também é conhecido por suas obras sociais, tendo fundado um hospital e promovido a ajuda aos necessitados.
02/01/2026;Dia Mundial dos Introvertidos;dia_mundial_dos_introvertidos;DIA_MUNDIAL_DOS_INTROVERTIDOS;behavior;False;national;BR;;annual;peak;DIA_MUNDIAL_DOS_INTROVERTIDOS;sazonal;conteudo util|informacao|contexto do dia;Saiba mais;Instagram|LinkedIn;carrossel|reels;profissão|comportamental|saúde|personalidade;45.0;50.0;O Dia Mundial dos Introvertidos, celebrado em 2 de janeiro, é uma data que visa reconhecer e valorizar as características e contribuições dos indivíduos introvertidos na sociedade. A data foi criada para promover a compreensão sobre a introversão, que é frequentemente mal interpretada como timidez ou falta de sociabilidade. O objetivo é encorajar a aceitação da diversidade de personalidades e a importância do espaço e do tempo para reflexão e criatividade que os introvertidos frequentemente necessitam.;A data foi estabelecida por um grupo de introvertidos e defensores da saúde mental, que buscavam aumentar a conscientização sobre as necessidades e os desafios enfrentados por pessoas com essa personalidade.;Estudos indicam que cerca de 30% a 50% da população pode ser considerada introvertida, e muitos líderes e inovadores famosos, como Albert Einstein e J.K. Rowling, se identificam como introvertidos.
02/01/2026;Dia do Sanitarista;dia_do_sanitarista;SANITARISTA;behavior;False;national;BR;;annual;peak;DIA_DO_SANITARISTA;sazonal;conteudo util|informacao|contexto do dia;Saiba mais;Instagram|LinkedIn;carrossel|reels;profissão|comportamental|saúde|personalidade;45.0;50.0;O Dia do Sanitarista, celebrado em 2 de janeiro, é uma data que homenageia os profissionais que atuam na saúde pública, especialmente na vigilância sanitária e na promoção da saúde coletiva. Esses profissionais desempenham um papel crucial na prevenção de doenças e na melhoria da qualidade de vida da população, garantindo que as normas de saúde sejam seguidas e que os serviços de saúde funcionem adequadamente.;A data foi escolhida em referência à criação da primeira escola de saúde pública no Brasil, que teve um papel fundamental na formação de sanitaristas e na evolução das políticas de saúde no país.;Os sanitaristas são essenciais em momentos de crise de saúde, como epidemias, onde sua atuação pode salvar vidas e controlar a disseminação de doenças.
03/01/2026;Aniversário de Ananindeua;aniversario_de_ananindeua;ANANINDEUA;politico_civico;1.0;municipal;PA;Ananindeua;anual;alto;D-7;sazonal;community;participe;Instagram|Facebook;carrossel|reels;orgulho_local|pertencimento|celebracao;75.0;65.0;O aniversário de Ananindeua, celebrado em 3 de janeiro, é uma data significativa para os moradores da cidade, localizada no estado do Pará. A data marca a fundação do município, que é um dos mais populosos da região metropolitana de Belém. Durante as comemorações, são realizadas diversas atividades culturais, esportivas e cívicas que promovem o orgulho local e o sentimento de pertencimento entre os cidadãos. É uma oportunidade para a comunidade se unir e celebrar a história e as conquistas da cidade.;Ananindeua foi oficialmente reconhecida como município em 3 de janeiro de 1961, após um processo de emancipação que buscava maior autonomia administrativa e desenvolvimento local.;Ananindeua é conhecida por sua diversidade cultural e por abrigar eventos que refletem a rica herança indígena e a influência da cultura amazônica.
03/01/2026;Dia da Abreugrafia;dia_da_abreugrafia;ABREUGRAFIA;behavior;False;national;BR;;annual;peak;DIA_DA_ABREUGRAFIA;sazonal;conteudo util|informacao|contexto do dia;Saiba mais;Instagram|LinkedIn;carrossel|reels;saúde|profissão|medicina|justiça;45.0;50.0;O Dia da Abreugrafia, celebrado em 3 de janeiro, é uma data dedicada à valorização e à conscientização sobre a importância da abreugrafia, um exame radiológico que auxilia no diagnóstico de doenças pulmonares, como a tuberculose. Essa data é uma oportunidade para destacar o papel dos profissionais de saúde que realizam esses exames e a importância da prevenção e do diagnóstico precoce de doenças respiratórias.;A escolha da data remete ao aniversário do nascimento de um dos pioneiros na área da radiologia, que contribuiu significativamente para o desenvolvimento da técnica.;A abreugrafia foi uma técnica amplamente utilizada no Brasil durante as campanhas de combate à tuberculose, especialmente nas décadas de 1940 e 1950.
03/01/2026;Dia do Hemofílico;dia_do_hemofilico;HEMOFILICO;behavior;False;national;BR;;annual;peak;DIA_DO_HEMOF_LICO;sazonal;conteudo util|informacao|contexto do dia;Saiba mais;Instagram|LinkedIn;carrossel|reels;saúde|profissão|medicina|justiça;45.0;50.0;O Dia do Hemofílico, comemorado em 3 de janeiro, é uma data dedicada à conscientização sobre a hemofilia, uma condição genética que afeta a coagulação do sangue. Este dia é importante para promover a educação sobre a doença, apoiar os pacientes e suas famílias, e incentivar a pesquisa para tratamentos mais eficazes. A hemofilia pode levar a complicações graves, e a data serve como um lembrete da necessidade de acesso a cuidados médicos adequados e de políticas públicas que garantam a qualidade de vida dos afetados.;A escolha da data está relacionada ao aniversário de nascimento de um dos primeiros médicos a descrever a hemofilia, o que ajudou a dar visibilidade à condição.;A hemofilia é mais comum em homens, afetando cerca de 1 em cada 5.000 nascimentos masculinos.
03/01/2026;Dia do Juiz de Menores;dia_do_juiz_de_menores;JUIZ_DE_MENORES;data_comemorativa;False;nacional;BR;;anual;pico;DIA_DO_JUIZ_DE_MENORES;sazonal;utilidade_publica;saiba_mais;Instagram|LinkedIn;carrossel|reels;medicina|justiça;45.0;50.0;O Dia do Juiz de Menores, celebrado em 3 de janeiro, é uma data que visa reconhecer e valorizar o trabalho dos juízes que atuam na Justiça da Infância e Juventude. Esses profissionais são fundamentais na proteção dos direitos das crianças e adolescentes, garantindo que suas necessidades e interesses sejam priorizados em processos judiciais. A data também serve para conscientizar a sociedade sobre a importância de um sistema judiciário que proteja os jovens em situação de vulnerabilidade.;A data foi instituída para destacar a relevância do papel do juiz na promoção da justiça e na defesa dos direitos da infância e adolescência, especialmente em um contexto em que muitos jovens enfrentam situações de risco.;O trabalho dos juízes de menores é essencial para a implementação do Estatuto da Criança e do Adolescente (ECA), que completa 30 anos em 2020, promovendo uma abordagem mais humanizada e protetiva.
04/01/2026;Dia Mundial do Braille;dia_mundial_do_braille;BRAILLE;international;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;internacional|cultural;55.0;55.0;O Dia Mundial do Braille, celebrado em 4 de janeiro, é uma data que visa promover a conscientização sobre a importância do sistema de escrita e leitura Braille para pessoas com deficiência visual. O Braille, criado por Louis Braille em 1824, é um método que permite a leitura e a escrita através de pontos em relevo, possibilitando a inclusão e a autonomia das pessoas cegas. A data é uma oportunidade para discutir a acessibilidade e os direitos das pessoas com deficiência, além de promover a educação e a difusão do conhecimento sobre o Braille.;A data foi estabelecida pela ONU em 2018, em homenagem ao aniversário de Louis Braille, e busca destacar a importância da inclusão social e educacional das pessoas com deficiência visual.;O sistema Braille é utilizado em diversos idiomas e continua a evoluir com a tecnologia, incluindo a impressão em 3D e dispositivos eletrônicos que facilitam o acesso à informação.
04/01/2026;Dia Nacional da Abreugrafia;dia_nacional_da_abreugrafia_01_04;ABREUGRAFIA_01_04;cultural;False;national;BR;;annual;pico;DIA_DA_ABREUGRAFIA;sazonal;utilidade_publica;Saiba mais;Instagram|LinkedIn;carrossel|reels;comemorativo|cultural;50.0;50.0;O Dia Nacional da Abreugrafia, celebrado em 4 de janeiro, é uma data dedicada à valorização e à divulgação da técnica de abreugrafia, um exame radiográfico que permite a detecção precoce de doenças pulmonares, especialmente a tuberculose. Essa data tem como objetivo conscientizar a população sobre a importância da prevenção e do diagnóstico precoce dessas doenças respiratórias, promovendo a saúde pública no Brasil.;A data foi instituída em homenagem ao médico brasileiro Carlos Chagas, que contribuiu significativamente para a saúde pública no país, e à técnica que leva o nome do radiologista brasileiro Abreu.;A abreugrafia foi uma ferramenta crucial no combate à tuberculose no Brasil, especialmente nas décadas de 1940 e 1950, quando a doença era uma das principais causas de morte no país.
04/01/2026;Dia do Hemofílico;dia_do_hemofilico_01_04;HEMOFILICO_01_04;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;comemorativo|cultural;50.0;50.0;O Dia do Hemofílico, comemorado em 3 de janeiro, é uma data dedicada à conscientização sobre a hemofilia, uma condição genética que afeta a coagulação do sangue. Este dia é importante para promover a educação sobre a doença, apoiar os pacientes e suas famílias, e incentivar a pesquisa para tratamentos mais eficazes. A hemofilia pode levar a complicações graves, e a data serve como um lembrete da necessidade de acesso a cuidados médicos adequados e de políticas públicas que garantam a qualidade de vida dos afetados.;A escolha da data está relacionada ao aniversário de nascimento de um dos primeiros médicos a descrever a hemofilia, o que ajudou a dar visibilidade à condição.;A hemofilia é mais comum em homens, afetando cerca de 1 em cada 5.000 nascimentos masculinos.
04/01/2026;Dia Mundial do Braile;dia_mundial_do_braile;BRAILE;behavior;False;national;BR;;annual;peak;DIA_MUNDIAL_DO_BRAILE;sazonal;conteudo util|informacao|contexto do dia;Saiba mais;Instagram|LinkedIn;carrossel|reels;acessibilidade|saúde|inclusão|medicina;45.0;50.0;O Dia Mundial do Braile é comemorado em 4 de janeiro e tem como objetivo promover a conscientização sobre a importância do sistema de escrita e leitura Braile, criado por Louis Braille no século XIX. Esta data é uma oportunidade para discutir a inclusão das pessoas com deficiência visual e a necessidade de garantir acesso à educação e informação. O Braile é fundamental para a autonomia e a dignidade das pessoas cegas, permitindo que elas leiam, escrevam e se integrem plenamente na sociedade.;A data foi escolhida em homenagem ao aniversário de Louis Braille, que nasceu em 4 de janeiro de 1809, e é um marco para a luta pelos direitos das pessoas com deficiência visual.;O sistema Braile utiliza combinações de pontos em relevo que podem ser lidos pelo toque, permitindo que milhões de pessoas em todo o mundo tenham acesso à leitura e à escrita.
05/01/2026;Dia da Criação da Primeira Tipografia no Brasil;dia_da_criacao_da_primeira_tipografia_no_brasil;CRIACAO_DA_PRIMEIRA_TIPOGRAFIA_NO_BRASIL;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;comemorativo|cultural;50.0;50.0;O Dia da Criação da Primeira Tipografia no Brasil, celebrado em 5 de janeiro de 2026, marca um momento crucial na história da comunicação e da cultura brasileira. A primeira tipografia foi instalada em 1808, no Rio de Janeiro, por imigrantes portugueses, permitindo a impressão de livros, jornais e outros materiais que contribuíram para a disseminação do conhecimento e da literatura no país. Essa data simboliza a importância da impressão na formação da identidade cultural brasileira e na promoção da educação.;A instalação da tipografia no Brasil ocorreu com a chegada da família real portuguesa, que trouxe inovações e impulsionou o desenvolvimento cultural e educacional do país.;A primeira obra impressa no Brasil foi o 'Regimento do Exército', publicado em 1808, que ajudou a estabelecer a tipografia como um meio essencial de comunicação e informação.
05/01/2026;Dia Nacional Graças a Deus É Segunda-feira;dia_nacional_gracas_a_deus_e_segundafeira;DIA_NACIONAL_GRACAS_A_DEUS_E_SEGUNDA_FEIRA;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;comemorativo|cultural;50.0;50.0;O Dia Nacional Graças a Deus É Segunda-feira, celebrado em 5 de janeiro, é uma data que visa promover a reflexão sobre a importância de valorizar o início da semana. A ideia é encorajar as pessoas a começarem a semana com uma atitude positiva e grata, transformando a percepção comum de que a segunda-feira é um dia pesado. Essa data é uma oportunidade para que as pessoas celebrem a vida e as oportunidades que a nova semana traz.;A data foi criada em 2019 por meio de uma proposta que buscava resgatar a gratidão e a positividade, especialmente em um dia que muitas vezes é visto com desânimo.;O movimento ganhou força nas redes sociais, onde as pessoas compartilham mensagens de otimismo e gratidão, criando uma corrente de positividade.
05/01/2026;Dia de São Nepomuceno Neumann;dia_de_sao_nepomuceno_neumann;SAO_NEPOMUCENO_NEUMANN;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;comemorativo|cultural;50.0;50.0;O Dia de São Nepomuceno Neumann, celebrado em 5 de janeiro, homenageia o primeiro bispo dos Estados Unidos, conhecido por sua dedicação à educação e à evangelização. Ele foi canonizado em 1977 e é considerado o padroeiro dos imigrantes e dos catequistas. Sua vida é um exemplo de serviço à comunidade e de fé, refletindo a importância da educação religiosa na formação da sociedade.;São Nepomuceno Neumann nasceu na Boêmia, atual República Tcheca, e imigrou para os Estados Unidos em busca de oportunidades para servir à Igreja. Sua trajetória destaca a contribuição dos imigrantes na construção da Igreja Católica nos EUA.;Além de ser bispo, Neumann fundou várias escolas e paróquias, ajudando a expandir a educação católica no país.
05/01/2026;Criação da 1ª Tipografia no Brasil;criacao_da_1_tipografia_no_brasil;CRIACAO_DA_1A_TIPOGRAFIA_NO_BRASIL;behavior;False;national;BR;;annual;peak;CRIA_O_DA_1_TIPOGRAFIA_NO_BRASIL;sazonal;conteudo util|informacao|contexto do dia;Saiba mais;Instagram|LinkedIn;carrossel|reels;profissão|histórico|design|gráfica;45.0;50.0;A criação da 1ª tipografia no Brasil, ocorrida em 5 de janeiro de 2026, representa um marco significativo na história da comunicação e do design gráfico no país. Essa data simboliza a introdução da impressão tipográfica, que possibilitou a disseminação de informações e a produção de livros, jornais e outros materiais impressos, contribuindo para a educação e a cultura nacional.;A tipografia no Brasil teve suas raízes com a chegada dos primeiros impressos, mas a data de 5 de janeiro de 2026 marca a formalização de uma indústria tipográfica que se consolidou ao longo dos anos, refletindo a evolução do design e da comunicação visual no país.;A tipografia é considerada uma arte e uma ciência, e sua evolução no Brasil acompanhou o desenvolvimento da literatura e da educação, sendo fundamental para a formação da identidade cultural brasileira.
05/01/2026;Dia Nacional da Tipografia;dia_nacional_da_tipografia;TIPOGRAFIA;behavior;False;national;BR;;annual;peak;DIA_NACIONAL_DA_TIPOGRAFIA;sazonal;conteudo util|informacao|contexto do dia;Saiba mais;Instagram|LinkedIn;carrossel|reels;profissão|histórico|design|gráfica;45.0;50.0;O Dia Nacional da Tipografia, celebrado em 5 de janeiro, é uma data que homenageia a arte e a ciência da tipografia, essencial para a comunicação visual e o design gráfico. Este dia busca valorizar o trabalho dos tipógrafos e designers que, através da escolha e do uso de tipos, influenciam a legibilidade e a estética de textos em diversas mídias. A tipografia é uma ferramenta poderosa que molda a forma como as mensagens são percebidas e entendidas.;A data foi escolhida em referência ao dia de nascimento de um dos mais influentes tipógrafos da história, que contribuiu significativamente para o desenvolvimento da tipografia moderna.;"A tipografia não é apenas uma questão estética; ela também pode afetar a forma como as pessoas interpretam e se sentem em relação a uma mensagem."
05/01/2026;Janela de Salario (aprox.);janela_de_salario_aprox;JANELA_DE_SALARIO_APROX;behavior;False;national;BR;;monthly;peak;PAYDAY_2026_01;sazonal;planejamento|lista de compras|economia;Ver ofertas;MetaAds|GoogleAds;carrossel|reels;varejo|promo|planejamento;30.0;25.0;A Janela de Salário, prevista para ocorrer em 05 de janeiro de 2026, é um evento que marca o início de um período de promoções e reajustes salariais no varejo. Essa data é significativa para as empresas, pois representa uma oportunidade de planejamento estratégico para atrair e reter talentos, além de ajustar as remunerações de acordo com o mercado. O evento também pode impactar o comportamento de consumo, já que os colaboradores podem estar mais motivados e engajados, refletindo em um aumento nas vendas.;A prática de reajustes salariais e promoções em datas específicas é comum em diversos setores, visando alinhar as expectativas dos trabalhadores e as necessidades das empresas.;Em muitos países, datas similares são utilizadas para estimular o comércio, aproveitando o aumento do poder aquisitivo dos funcionários após os reajustes.
