date_iso,event_name,event_type,segment_tags,country,state,city,recurrence,priority_0_100,risk_weight_0_100,window_key,window_phase,locality_scope,content_angles,default_cta,platform_fit,notes,source_hint,rule,date_type
2026-01-07,Dia da Liberdade de Cultos,cultural,direitos|religioso|liberdade|fé,BR,,,annual,60,65,DIA_DA_LIBERDADE_DE_CULTOS,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-07,Dia de Não Aguentar Mais Isso,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-07,Dia do Leitor,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-08,Dia da Fotografia,behavior,profissão|arte|visual|criativo,BR,,,annual,45,50,DIA_DA_FOTOGRAFIA,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-08,Dia do Fotógrafo,behavior,profissão|arte|visual|criativo,BR,,,annual,45,50,DIA_DO_FOT_GRAFO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-09,Dia do Fico (em 1822),cultural,datas_comemorativas|cultural,BR,,,annual,50,55,,,national,,Saiba mais,,Fonte: Wikipedia (raw),Wikipedia (raw),,
2026-01-09,Dia do Astronauta,behavior,histórico|profissão|brasil|espaço,BR,,,annual,45,50,DIA_DO_ASTRONAUTA,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-09,Dia do Fico,behavior,histórico|profissão|brasil|espaço,BR,,,annual,45,50,DIA_DO_FICO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-10,Festa de São Gonçalo do Amarante,cultural,religioso|católico|santo,BR,,,annual,60,65,FESTA_DE_S_O_GON_ALO_DO_AMARANTE,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-10,Dia de São Gonçalo de Amarante,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-11,Dia Internacional do Obrigado,behavior,ambiental|comportamental|sustentabilidade|gratidão,BR,,,annual,45,50,DIA_INTERNACIONAL_DO_OBRIGADO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-11,Dia do Controle da Poluição por Agrotóxicos,behavior,ambiental|comportamental|sustentabilidade|gratidão,BR,,,annual,45,50,DIA_DO_CONTROLE_DA_POLUI_O_POR_AGROT_XICOS,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-12,Aniversário de Belém,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-12,Dia Nacional do Empresário Contábil,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-12,Dia do Empresário Contábil,behavior,profissão|contabilidade|negócios,BR,,,annual,45,50,DIA_DO_EMPRES_RIO_CONT_BIL,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-13,Dia de Realizar seus Sonhos,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-13,Dia de Santo Hilário de Poitiers,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-13,Dia Internacional do Leonismo,behavior,institucional|solidariedade|serviço|comunidade,BR,,,annual,45,50,DIA_INTERNACIONAL_DO_LEONISMO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-14,Dia Mundial da Lógica,international,internacional|cultural,BR,,,annual,55,55,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-14,Dia de Vestir seu Pet com Roupa de Gente,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-14,Dia Internacional da Pipa,behavior,militar|esporte|lazer|saúde|defesa|futebol|diversão|cuidado,BR,,,annual,45,50,DIA_INTERNACIONAL_DA_PIPA,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-14,Dia do Enfermo,behavior,militar|esporte|lazer|saúde|defesa|futebol|diversão|cuidado,BR,,,annual,45,50,DIA_DO_ENFERMO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-14,Dia do Sargento,behavior,militar|esporte|lazer|saúde|defesa|futebol|diversão|cuidado,BR,,,annual,45,50,DIA_DO_SARGENTO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-14,Dia do Treinador de Futebol,behavior,militar|esporte|lazer|saúde|defesa|futebol|diversão|cuidado,BR,,,annual,45,50,DIA_DO_TREINADOR_DE_FUTEBOL,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-15,Dia Nacional do Jogo Limpo e de Combate ao Doping nos Esportes,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-15,Dia de Santo Amaro,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-15,Dia do Adulto,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-15,Dia Mundial do Compositor,behavior,arte|comportamental|música|maturidade,BR,,,annual,45,50,DIA_MUNDIAL_DO_COMPOSITOR,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-15,Dia do Compositor,behavior,arte|comportamental|música|maturidade,BR,,,annual,45,50,DIA_DO_COMPOSITOR,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-15,Dia dos Adultos,behavior,arte|comportamental|música|maturidade,BR,,,annual,45,50,DIA_DOS_ADULTOS,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-16,Dia Internacional da Comida Picante,international,internacional|cultural,BR,,,annual,55,55,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-16,"Dia de São Marcelo, Papa",cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-16,Dia do Cortador de Cana-de-Açúcar,behavior,profissão|trabalhista|agricultura|rural,BR,,,annual,45,50,DIA_DO_CORTADOR_DE_CANA_DE_A_CAR,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-17,Aniversário da Emancipação do Ceará,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-17,Dia de Esquecer as Resoluções de Ano Novo,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-17,Dia de Santo Antão,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-17,Dia dos Tribunais de Contas do Brasil,behavior,institucional|justiça|fiscalização|transparência,BR,,,annual,45,50,DIA_DOS_TRIBUNAIS_DE_CONTAS_DO_BRASIL,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-18,Dia Internacional do Riso,international,internacional|cultural,BR,,,annual,55,55,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-18,Dia Nacional do Krav Maga,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-18,Dia da Universidade,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-18,Dia do Esteticista,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-18,Dia da Manicure,behavior,profissão|beleza|estética|cuidado,BR,,,annual,45,50,DIA_DA_MANICURE,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-19,Dia de São Canuto,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-19,Dia do Cabeleireiro,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-19,Dia do Passista,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-19,Dia Internacional do Queijo Quark,behavior,profissão|saúde|culinária|beleza|terapia|gastronomia,BR,,,annual,45,50,DIA_INTERNACIONAL_DO_QUEIJO_QUARK,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-19,Dia Oficial do Cabeleireiro,behavior,profissão|saúde|culinária|beleza|terapia|gastronomia,BR,,,annual,45,50,DIA_OFICIAL_DO_CABELEIREIRO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-19,Dia do Terapeuta Ocupacional,behavior,profissão|saúde|culinária|beleza|terapia|gastronomia,BR,,,annual,45,50,DIA_DO_TERAPEUTA_OCUPACIONAL,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-20,Dia Mundial do Queijo,international,internacional|cultural,BR,,,annual,55,55,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-20,Dia Nacional da Parteira Tradicional,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-20,Dia Nacional do Fusca,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-20,Dia de São Sebastião,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-20,Dia da Parteira Tradicional,behavior,profissão|saúde|natureza|medicina|maternidade|fauna,BR,,,annual,45,50,DIA_DA_PARTEIRA_TRADICIONAL,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-20,Dia do Farmacêutico,behavior,profissão|saúde|natureza|medicina|maternidade|fauna,BR,,,annual,45,50,DIA_DO_FARMAC_UTICO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-20,Dia do Pinguim,behavior,profissão|saúde|natureza|medicina|maternidade|fauna,BR,,,annual,45,50,DIA_DO_PINGUIM,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-21,Dia Internacional do Moletom,cultural,natureza|moda|religioso|fauna|vestuário|fé,BR,,,annual,60,65,DIA_INTERNACIONAL_DO_MOLETOM,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-21,Dia Mundial da Religião,cultural,natureza|moda|religioso|fauna|vestuário|fé,BR,,,annual,60,65,DIA_MUNDIAL_DA_RELIGI_O,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-21,Dia do Esquilo,cultural,natureza|moda|religioso|fauna|vestuário|fé,BR,,,annual,60,65,DIA_DO_ESQUILO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-21,Dia Nacional de Combate à Intolerância Religiosa,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-22,Dia de Santo André,cultural,religioso|católico|santo,BR,,,annual,60,65,DIA_DE_SANTO_ANDR_,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-23,Dia de Santo Ildefonso,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-23,Dia Internacional da Medicina Integrativa,international,saúde|internacional|medicina|holístico,BR,,,annual,45,50,DIA_INTERNACIONAL_DA_MEDICINA_INTEGRATIVA,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-24,Dia Mundial da Cultura Africana e Afrodescendente,international,internacional|cultural,BR,,,annual,55,55,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-24,Dia dos Aposentados,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-24,Dia Mundial da Educação,behavior,educação|institucional|previdência|ensino|direito|aposentadoria,BR,,,annual,45,50,DIA_MUNDIAL_DA_EDUCA_O,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-24,Dia Nacional dos Aposentados,behavior,educação|institucional|previdência|ensino|direito|aposentadoria,BR,,,annual,45,50,DIA_NACIONAL_DOS_APOSENTADOS,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-24,Dia da Constituição,behavior,educação|institucional|previdência|ensino|direito|aposentadoria,BR,,,annual,45,50,DIA_DA_CONSTITUI_O,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-24,Dia da Previdência Social,behavior,educação|institucional|previdência|ensino|direito|aposentadoria,BR,,,annual,45,50,DIA_DA_PREVID_NCIA_SOCIAL,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-24,Dia Internacional da Educacao,international,educacao|institucional,BR,,,annual,40,40,DIA_INTERNACIONAL_DA_EDUCACAO,peak,national,conteudo educativo|institucional|acao pratica,Saiba mais,Instagram|LinkedIn,Gancho de conteudo (nao comercial agressivo),Curadoria datas internacionais,,
2026-01-25,Dia Internacional da Mulher no Multilateralismo,international,internacional|cultural,BR,,,annual,55,55,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-25,Dia Mundial contra a Hanseníase,international,internacional|cultural,BR,,,annual,55,55,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-25,Dia Nacional da Bossa Nova,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-25,Dia Nacional de Combate e Prevenção da Hanseníase,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-25,Dia dos Correios e Telégrafos,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-25,Aniversario de Sao Paulo,regional,regional|varejo|comunidade,BR,SP,Sao Paulo,annual,45,55,ANNIV_SAO_PAULO_2026,peak,city,orgulho local|historia|beneficios na regiao,Confira,Instagram|Facebook,Data municipal (expansivel por base plugavel),Curadoria regional (exemplo),,
2026-01-25,Dia do Carteiro,behavior,profissão|histórico|correios|cidade,BR,,,annual,45,50,DIA_DO_CARTEIRO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-25,Fundação de São Paulo,behavior,profissão|histórico|correios|cidade,BR,,,annual,45,50,FUNDA_O_DE_S_O_PAULO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-26,Dia da Gula,cultural,comportamental|religioso|pecado|reflexão,BR,,,annual,60,65,DIA_DA_GULA,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-26,Dia Internacional das Aduanas,international,internacional|cultural,BR,,,annual,55,55,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-26,Dia Mundial da Educação Ambiental,international,internacional|cultural,BR,,,annual,55,55,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-26,Dia de São Timóteo,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-27,Dia Internacional do Conservador-Restaurador,international,internacional|cultural,BR,,,annual,55,55,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-27,Dia Internacional em Memória das Vítimas do Holocausto,international,internacional|cultural,BR,,,annual,55,55,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-27,Dia Mundial do Bolo de Chocolate,international,internacional|cultural,BR,,,annual,55,55,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-27,Dia Internacional em Memória às Vítimas do Holocausto,behavior,profissão|memória|comunicação|história,BR,,,annual,45,50,DIA_INTERNACIONAL_EM_MEM_RIA_S_V_TIMAS_DO_HOLOCAUSTO,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-27,Dia do Orador,behavior,profissão|memória|comunicação|história,BR,,,annual,45,50,DIA_DO_ORADOR,peak,national,conteudo util|informacao|contexto do dia,Saiba mais,Instagram|LinkedIn,Calendario 365 dias (CSV),CSV 365 dias,,
2026-01-28,Dia Internacional da Proteção de Dados,international,internacional|cultural,BR,,,annual,55,55,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-28,Dia Nacional de Combate ao Trabalho Escravo,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-28,Dia Nacional do Auditor-Fiscal do Trabalho,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
2026-01-28,Dia de São Tomás de Aquino,cultural,comemorativo|cultural,BR,,,annual,50,50,,,national,,Saiba mais,,Fonte: Calendarr 2026,Calendarr 2026,,
